"","year","agency_code","agency_level","designation_Type","name","county","city","zip","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","absent_group_ALL","absent_group_FEM","absent_group_HI7","absent_group_MALE","absent_group_WH7","absent_group_BL7","absent_group_ELS","absent_group_MU7","absent_group_SWD","absent_group_AS7","absent_group_AM7","absent_group_PI7","AAVC","AGNR","ARCH","BMA","EDUC","FINA","GOVT","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"33",2022,"030LEA","LEA","P","Alleghany County Schools","Alleghany","Sparta",28675,NA,NA,NA,NA,NA,"N",NA,NA,812,686,84.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833,2.709,1.108,0.862,0.123,0,0,1.601,0,2.217,0,0,0.493,0,0,1.355
"34",2022,"040304","SCH","P","Anson County Early College High School","Anson","Polkton",28135,"H","040LEA","09:13","Regular School","Traditional","N",NA,NA,224,90,40.18,NA,"N","N","N","N",0.333,0.333,0.667,0,0.667,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0,0,0
"35",2022,"040306","SCH","P","Anson High School","Anson","Wadesboro",28170,"H","040LEA","09:12","Regular School","Traditional","N",NA,NA,612,577,94.28,NA,"N","N","Y","N",0.333,0.333,0.667,0,0.667,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.471,2.941,1.634,1.471,0,0,0,2.288,1.634,2.614,0,0.49,0,0.98,1.634,1.961
"36",2022,"040309","SCH","P","Anson Middle School","Anson","Wadesboro",28170,"M","040LEA","06:08","Regular School","Traditional","N",NA,NA,718,655,91.23,NA,"N","N","Y","Y",0.333,0.333,0.667,0,0.667,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2022,"040LEA","LEA","P","Anson County Schools","Anson","Wadesboro",28170,NA,NA,NA,NA,NA,"N",NA,NA,1775,1322,74.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507,1.014,0.563,0.507,0,0,0,0.789,0.563,0.901,0,0.169,0.056,0.338,0.563,0.676
"38",2022,"050302","SCH","P","Ashe County High","Ashe","West Jefferson",28694,"H","050LEA","09:12","Regular School","Traditional","N",NA,NA,750,585,78,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,2.667,1.067,0.8,0,0,0,1.6,0.133,0.267,0,0,2.267,0,0.267,1.2
"39",2022,"050303","SCH","P","Ashe County Early College High School","Ashe","West Jefferson",28694,"H","050LEA","09:13","Regular School","Traditional","N",NA,NA,124,66,53.23,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.806,0,0,0,0,0,0,0,0,0,0,0,0
"40",2022,"050305","SCH","P","Ashe County Middle","Ashe","Warrensville",28693,"M","050LEA","07:08","Regular School","Traditional","N",NA,NA,452,294,65.04,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2022,"050310","SCH","P","Blue Ridge Elementary","Ashe","Warrensville",28693,"E","050LEA","0K:06","Regular School","Traditional","Y",NA,NA,115,NA,5,TRUE,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2022,"050330","SCH","P","Mountain View Elementary","Ashe","Jefferson",28640,"E","050LEA","PK:06","Regular School","Traditional","Y",NA,NA,158,NA,5,TRUE,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2022,"050335","SCH","P","Westwood Elementary","Ashe","West Jefferson",28694,"E","050LEA","0K:06","Regular School","Traditional","Y",NA,NA,138,NA,5,TRUE,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2022,"050LEA","LEA","P","Ashe County Schools","Ashe","Jefferson",28640,NA,NA,NA,NA,NA,"N",NA,NA,1737,945,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461,1.151,0.461,0.403,0,0,0,0.691,0.058,0.115,0,0,0.979,0,0.115,0.518
"45",2022,"060302","SCH","P","Avery County High School","Avery","Newland",28657,"H","060LEA","09:12","Regular School","Traditional","N",NA,NA,554,461,83.21,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.527,1.625,0,0,0,0,5.054,0.903,0,0,0,5.415,0,3.791,0
"46",2022,"060310","SCH","P","Cranberry Middle School","Avery","Elk Park",28622,"M","060LEA","06:08","Regular School","Traditional","Y",NA,NA,171,NA,95,TRUE,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2022,"060318","SCH","P","Avery Middle","Avery","Newland",28657,"M","060LEA","06:08","Regular School","Traditional","Y",NA,NA,253,234,92.49,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2022,"060334","SCH","P","Blue Ridge High School","Avery","Newland",28657,"T","060LEA","06:12","Alternative Educat","Traditional","N",NA,NA,13,6,46.15,NA,"N","Y","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2022,"060LEA","LEA","P","Avery County Schools","Avery","Newland",28657,NA,NA,NA,NA,NA,"N",NA,NA,1121,864,77.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.249,0.803,0,0,0,0,2.498,0.446,0,0,0,2.676,0,1.873,0
"50",2022,"06B000","SCH","C","Marjorie Williams Academy","Avery","Newland",28657,"A","CH","0K:12","Regular School","Traditional","Y","060LEA",NA,59,NA,5,TRUE,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2022,"070308","SCH","P","Bath Elementary","Beaufort","Bath",27808,"I","070LEA","0K:08","Regular School","Traditional","N",NA,NA,246,180,73.17,NA,"N","N","Y","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2022,"070310","SCH","P","Beaufort County Educational Technical Center","Beaufort","Chocowinity",27817,"T","070LEA","06:12","Alternative Educat","Traditional","N",NA,NA,47,35,74.47,NA,"N","Y","N","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",2022,"070311","SCH","P","Beaufort County Early College High School","Beaufort","Washington",27889,"H","070LEA","09:13","Regular School","Modified","N",NA,NA,268,72,26.87,NA,"N","N","N","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746
"54",2022,"070325","SCH","P","Chocowinity Middle","Beaufort","Chocowinity",27817,"M","070LEA","05:08","Regular School","Traditional","Y",NA,NA,362,220,60.77,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2022,"070329","SCH","P","Northeast Elementary","Beaufort","Pinetown",27865,"I","070LEA","PK:08","Regular School","Traditional","Y",NA,NA,180,136,75.56,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2022,"070330","SCH","P","Northside High","Beaufort","Pinetown",27865,"H","070LEA","09:12","Regular School","Traditional","N",NA,NA,346,295,85.26,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.445,1.734,0,0,0,0,2.312,0,1.445,0,0,0,0,0,2.89
"57",2022,"070338","SCH","P","P S Jones Middle","Beaufort","Washington",27889,"M","070LEA","06:08","Regular School","Traditional","Y",NA,NA,743,493,66.35,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
