"","year","agency_code","ALL","AS7","BL7","EDS","ELS","FEM","HI7","MALE","MU7","SWD","WH7","AM7","NEDS","NSWD"
"1926",2021,"450352",1064,0.0197368421052632,0.0197368421052632,0.240601503759398,0.0347744360902256,0.481203007518797,0.153195488721805,0.518796992481203,0.0319548872180451,0.140037593984962,0.771616541353383,NA,0.759398496240602,0.859962406015038
"1927",2021,"450354",154,NA,NA,0.383116883116883,NA,0.597402597402597,0.344155844155844,0.402597402597403,NA,NA,0.538961038961039,NA,0.616883116883117,0.980519480519481
"1928",2021,"450LEA",4030,0.0146401985111663,0.0354838709677419,0.36848635235732,0.0622828784119107,0.488089330024814,0.26302729528536,0.511910669975186,0.0421836228287841,0.13970223325062,0.638461538461538,NA,0.63151364764268,0.86029776674938
"1929",2021,"460320",608,NA,0.883223684210526,0.570723684210526,0.0197368421052632,0.424342105263158,0.03125,0.575657894736842,NA,0.1875,0.0756578947368421,NA,0.429276315789474,0.8125
"1930",2021,"460322",168,NA,0.541666666666667,0.196428571428571,NA,0.660714285714286,NA,0.339285714285714,NA,NA,0.357142857142857,NA,0.803571428571429,1
"1931",2021,"460340",98,NA,0.86734693877551,0.346938775510204,NA,0.551020408163265,NA,0.448979591836735,NA,NA,NA,NA,0.653061224489796,0.959183673469388
"1932",2021,"460LEA",874,NA,0.815789473684211,0.473684210526316,0.0137299771167048,0.483981693363844,0.0297482837528604,0.516018306636156,0.0160183066361556,0.135011441647597,0.12929061784897,NA,0.526315789473684,0.864988558352403
"1933",2021,"470312",1522,NA,0.383705650459921,0.313403416557162,0.045335085413929,0.493429697766097,0.231931668856767,0.506570302233903,0.0781865965834428,0.125492772667543,0.207621550591327,0.09526938239159,0.686596583442838,0.874507227332457
"1934",2021,"470443",355,NA,0.290140845070423,0.197183098591549,0.0309859154929577,0.526760563380282,0.307042253521127,0.473239436619718,0.0901408450704225,0.0309859154929577,0.256338028169014,0.047887323943662,0.802816901408451,0.969014084507042
"1935",2021,"470LEA",1877,NA,0.366009589770911,0.291422482685136,0.0426212040490144,0.499733617474694,0.246137453383058,0.500266382525306,0.0804475226425146,0.107618540223761,0.216835375599361,0.0863079381992541,0.708577517314864,0.892381459776239
"1936",2021,"480316",51,NA,NA,0.333333333333333,NA,0.549019607843137,0.431372549019608,0.450980392156863,NA,NA,0.549019607843137,NA,0.666666666666667,0.941176470588235
"1937",2021,"480318",69,NA,0.217391304347826,0.36231884057971,NA,0.550724637681159,NA,0.449275362318841,NA,NA,0.608695652173913,NA,0.63768115942029,0.91304347826087
"1938",2021,"480LEA",120,NA,0.133333333333333,0.35,NA,0.55,0.25,0.45,NA,NA,0.583333333333333,NA,0.65,0.925
"1939",2021,"490307",257,NA,0.105058365758755,0.291828793774319,NA,0.614785992217899,0.163424124513619,0.385214007782101,NA,NA,0.704280155642023,NA,0.708171206225681,1
"1940",2021,"490310",76,NA,NA,0.157894736842105,NA,0.539473684210526,NA,0.460526315789474,NA,NA,0.934210526315789,NA,0.842105263157895,0.960526315789474
"1941",2021,"490320",202,0.0693069306930693,NA,0.297029702970297,NA,0.495049504950495,0.242574257425743,0.504950495049505,0.0742574257425743,NA,0.589108910891089,NA,0.702970297029703,1
"1942",2021,"490335",1672,0.0299043062200957,0.0430622009569378,0.0986842105263158,0.0113636363636364,0.470693779904306,0.083133971291866,0.529306220095694,0.0490430622009569,0.0538277511961723,0.785885167464115,NA,0.901315789473684,0.946172248803828
"1943",2021,"490346",774,0.0167958656330749,0.0645994832041344,0.397932816537468,0.0788113695090439,0.456072351421189,0.217054263565891,0.543927648578811,0.0271317829457364,0.0917312661498708,0.67312661498708,NA,0.602067183462532,0.908268733850129
"1944",2021,"490350",67,NA,0.17910447761194,0.626865671641791,NA,0.507462686567164,NA,0.492537313432836,NA,0.298507462686567,0.686567164179104,NA,0.373134328358209,0.701492537313433
"1945",2021,"490354",692,0.0187861271676301,0.463872832369942,0.65028901734104,0.105491329479769,0.527456647398844,0.254335260115607,0.472543352601156,0.0592485549132948,0.15606936416185,0.203757225433526,NA,0.34971098265896,0.84393063583815
"1946",2021,"490355",254,0.0708661417322835,0.137795275590551,0.31496062992126,NA,0.68503937007874,0.18503937007874,0.31496062992126,0.0393700787401575,NA,0.566929133858268,NA,0.68503937007874,0.988188976377953
"1947",2021,"490362",1340,0.0350746268656716,0.0843283582089552,0.221641791044776,0.0156716417910448,0.513432835820895,0.116417910447761,0.486567164179104,0.0365671641791045,0.0544776119402985,0.727611940298508,NA,0.778358208955224,0.945522388059701
"1948",2021,"490380",681,0.0381791483113069,0.138032305433186,0.472834067547724,0.052863436123348,0.494860499265786,0.142437591776799,0.505139500734214,0.0352422907488987,0.0998531571218796,0.63582966226138,NA,0.527165932452276,0.90014684287812
"1949",2021,"490LEA",6015,0.0309226932668329,0.121363258520366,0.301080631753948,0.0359102244389027,0.504904405652535,0.146467165419784,0.495095594347465,0.0413965087281795,0.0724854530340815,0.655860349127182,0.00182876142975894,0.698919368246051,0.927514546965919
"1950",2021,"491312",1761,0.0198750709823964,0.161839863713799,0.298126064735945,0.0300965360590574,0.477569562748438,0.124929017603634,0.522430437251562,0.056785917092561,0.142532651902328,0.633162975582056,NA,0.701873935264055,0.857467348097672
"1951",2021,"491LEA",1761,0.0198750709823964,0.161839863713799,0.298126064735945,0.0300965360590574,0.477569562748438,0.124929017603634,0.522430437251562,0.056785917092561,0.142532651902328,0.633162975582056,NA,0.701873935264055,0.857467348097672
"1952",2021,"49E000",621,0.0450885668276973,0.0305958132045089,0.0193236714975845,NA,0.510466988727858,0.0338164251207729,0.489533011272142,0.0225442834138486,0.0644122383252818,0.86634460547504,NA,0.980676328502415,0.935587761674718
"1953",2021,"49F000",354,NA,0.0988700564971751,0.127118644067797,NA,0.401129943502825,0.110169491525424,0.598870056497175,0.0734463276836158,0.11864406779661,0.709039548022599,NA,0.872881355932203,0.88135593220339
