"","year","agency_code","agency_level","designation_Type","name","county","city","zip","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","AAVC","AGNR","ARCH","BMA","EDUC","FINA","GOVT","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"6154",2021,"050310","SCH","P","Blue Ridge Elementary","Ashe","Warrensville",28693,"E","050LEA","0K:06","Regular School","Traditional","Y",NA,NA,NA,NA,NA,NA,"N","N","N","Y",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6155",2021,"050330","SCH","P","Mountain View Elementary","Ashe","Jefferson",28640,"E","050LEA","PK:06","Regular School","Traditional","Y",NA,NA,NA,NA,NA,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6156",2021,"050335","SCH","P","Westwood Elementary","Ashe","West Jefferson",28694,"E","050LEA","0K:06","Regular School","Traditional","Y",NA,NA,NA,NA,NA,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6157",2021,"050LEA","LEA","P","Ashe County Schools","Ashe","Jefferson",28640,NA,NA,NA,NA,NA,"N",NA,NA,1796,1027,57.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,6,2,4,0,0,24,2,2,0,0,14,0,6,9
"6158",2021,"060302","SCH","P","Avery County High School","Avery","Newland",28657,"H","060LEA","09:12","Regular School","Traditional","N",NA,NA,551,368,66.79,NA,"N","N","N","N",0,0.25,0.75,0,1,TRUE,0,13,8,0,0,0,0,6,6,0,0,0,16,0,9,0
"6159",2021,"060310","SCH","P","Cranberry Middle School","Avery","Elk Park",28622,"M","060LEA","06:08","Regular School","Year Round","Y",NA,NA,193,140,72.54,NA,"N","N","N","Y",0,0.25,0.75,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6160",2021,"060318","SCH","P","Avery Middle","Avery","Newland",28657,"M","060LEA","06:08","Regular School","Traditional","Y",NA,NA,258,212,82.17,NA,"N","N","N","Y",0,0.25,0.75,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6161",2021,"060334","SCH","P","Blue Ridge High School","Avery","Newland",28657,"T","060LEA","06:12","Alternative Educat","Traditional","N",NA,NA,14,7,50,NA,"N","N","N","N",0,0.25,0.75,0,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6162",2021,"060LEA","LEA","P","Avery County Schools","Avery","Newland",28657,NA,NA,NA,NA,NA,"N",NA,NA,1150,727,63.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,8,0,0,0,0,6,6,0,0,0,16,0,9,0
"6163",2021,"06B000","SCH","C","Marjorie Williams Academy","Avery","Crossnore",28616,"A","CH","0K:12","Regular School","Traditional","Y","060LEA",NA,63,NA,5,TRUE,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6164",2021,"070308","SCH","P","Bath Elementary","Beaufort","Bath",27808,"I","070LEA","0K:08","Regular School","Traditional","N",NA,NA,259,189,72.97,NA,"N","N","Y","Y",0.143,0.5,0.5,0,0.857,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6165",2021,"070310","SCH","P","Beaufort County Educational Technical Cent","Beaufort","Chocowinity",27817,"T","070LEA","06:12","Alternative Educat","Traditional","N",NA,NA,66,51,77.27,NA,"N","N","N","N",0.143,0.5,0.5,0,0.857,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6166",2021,"070311","SCH","P","Beaufort County Early College High School","Beaufort","Washington",27889,"H","070LEA","09:13","Regular School","Traditional","N",NA,NA,262,71,27.1,NA,"N","N","N","N",0.143,0.5,0.5,0,0.857,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1
"6167",2021,"070325","SCH","P","Chocowinity Middle","Beaufort","Chocowinity",27817,"M","070LEA","05:08","Regular School","Traditional","Y",NA,NA,392,250,63.78,NA,"N","N","Y","Y",0.143,0.5,0.5,0,0.857,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6168",2021,"070329","SCH","P","Northeast Elementary","Beaufort","Pinetown",27865,"I","070LEA","PK:08","Regular School","Traditional","Y",NA,NA,192,150,78.13,NA,"N","N","Y","Y",0.143,0.5,0.5,0,0.857,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6169",2021,"070330","SCH","P","Northside High","Beaufort","Pinetown",27865,"H","070LEA","09:12","Regular School","Traditional","N",NA,NA,361,279,77.29,NA,"N","N","Y","Y",0.143,0.5,0.5,0,0.857,TRUE,0,3,10,0,0,0,0,9,0,7,0,2,2,0,0,5
"6170",2021,"070338","SCH","P","P S Jones Middle","Beaufort","Washington",27889,"M","070LEA","06:08","Regular School","Traditional","Y",NA,NA,732,594,81.15,NA,"N","N","Y","Y",0.143,0.5,0.5,0,0.857,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6171",2021,"070339","SCH","P","Southside High","Beaufort","Chocowinity",27817,"H","070LEA","09:12","Regular School","Traditional","N",NA,NA,386,325,84.2,NA,"N","N","N","N",0.143,0.5,0.5,0,0.857,TRUE,0,0,2,0,0,0,0,7,0,18,0,4,34,0,0,0
"6172",2021,"070340","SCH","P","S W Snowden Elementary","Beaufort","Aurora",27806,"I","070LEA","PK:08","Regular School","Traditional","Y",NA,NA,NA,NA,NA,NA,"N","N","N","N",0.143,0.5,0.5,0,0.857,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6173",2021,"070342","SCH","P","Washington High","Beaufort","Washington",27889,"H","070LEA","09:12","Regular School","Traditional","N",NA,NA,789,565,71.61,NA,"N","N","N","N",0.143,0.5,0.5,0,0.857,TRUE,0,12,4,0,0,0,0,9,0,14,0,0,9,0,0,0
"6174",2021,"070LEA","LEA","P","Beaufort County Schools","Beaufort","Washington",27889,NA,NA,NA,NA,NA,"N",NA,NA,3757,2474,65.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,16,0,0,0,0,25,0,39,1,6,48,1,0,7
"6175",2021,"07A000","SCH","C","Washington Montessori Public Charter Schoo","Beaufort","Washington",27889,"A","CH","0K:12","Regular School","Traditional","N","070LEA",NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6176",2021,"080311","SCH","P","Bertie Early College High","Bertie","Windsor",27983,"H","080LEA","09:13","Regular School","Traditional","Y",NA,NA,172,94,54.65,NA,"N","N","N","N",1,0.857,0.143,0,0,FALSE,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6177",2021,"080312","SCH","P","Bertie High","Bertie","Windsor",27983,"H","080LEA","09:12","Regular School","Traditional","Y",NA,NA,423,340,80.38,NA,"N","N","Y","Y",1,0.857,0.143,0,0,FALSE,0,0,0,11,0,0,0,0,0,48,0,0,2,0,4,6
"6178",2021,"080314","SCH","P","Bertie Middle","Bertie","Windsor",27983,"M","080LEA","06:08","Regular School","Traditional","Y",NA,NA,444,NA,95,TRUE,"N","N","Y","Y",1,0.857,0.143,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6179",2021,"080LEA","LEA","P","Bertie County Schools","Bertie","Windsor",27983,NA,NA,NA,NA,NA,"N",NA,NA,1174,862,73.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,0,11,0,0,0,0,0,48,0,0,2,0,4,7
"6180",2021,"08A000","SCH","C","Three Rivers Academy","Bertie","Windsor",27983,"I","CH","0K:08","Regular School","Traditional","Y","080LEA",NA,NA,NA,NA,NA,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6181",2021,"090315","SCH","P","Bladenboro Middle","Bladen","Bladenboro",28320,"M","090LEA","05:08","Regular School","Traditional","Y",NA,NA,279,208,74.55,NA,"N","N","Y","Y",0.385,0.692,0.308,0,0.615,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6182",2021,"090320","SCH","P","Clarkton School of Discovery","Bladen","Clarkton",28433,"M","090LEA","05:08","Regular School","Traditional","Y",NA,NA,216,177,81.94,NA,"N","N","N","N",0.385,0.692,0.308,0,0.615,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
