year,agency_code,career_cluster,num_concentrators
2017,280330,AAVC,1
2017,280330,ARCH,3
2017,280330,HLTH,1
2017,280330,HOSP,7
2017,280330,INFO,5
2017,280330,MRKT,6
2017,290308,AGNR,70
2017,290308,ARCH,41
2017,290308,BMA,25
2017,290308,FINA,5
2017,290308,HLTH,50
2017,290308,HOSP,53
2017,290308,INFO,35
2017,290308,LAW,2
2017,290308,MANU,2
2017,290308,MRKT,7
2017,290308,STEM,4
2017,290308,TRAN,5
2017,290314,AGNR,1
2017,290314,BMA,12
2017,290314,INFO,1
2017,290314,MRKT,10
2017,290324,AAVC,14
2017,290324,AGNR,90
2017,290324,ARCH,58
2017,290324,BMA,56
2017,290324,FINA,58
2017,290324,HLTH,55
2017,290324,HOSP,81
2017,290324,INFO,53
2017,290324,LAW,2
2017,290324,MANU,27
2017,290336,AGNR,73
2017,290336,ARCH,61
2017,290336,BMA,29
2017,290336,FINA,13
2017,290336,HLTH,25
2017,290336,HOSP,21
2017,290336,INFO,8
2017,290336,LAW,2
2017,290336,STEM,37
2017,290348,AAVC,72
2017,290348,AGNR,245
2017,290348,ARCH,31
2017,290348,BMA,176
2017,290348,FINA,40
2017,290348,HLTH,525
2017,290348,HOSP,120
2017,290348,INFO,183
2017,290348,LAW,5
2017,290348,MANU,71
2017,290348,MRKT,17
2017,290348,STEM,14
2017,290365,AAVC,46
2017,290365,AGNR,79
2017,290365,BMA,65
2017,290365,HLTH,49
2017,290365,HOSP,40
2017,290365,INFO,43
2017,290365,MANU,21
2017,290365,TRAN,4
2017,290388,AGNR,69
2017,290388,BMA,73
2017,290388,HLTH,67
2017,290388,HOSP,16
2017,290388,INFO,78
2017,290388,LAW,4
2017,290388,MANU,1
2017,290388,STEM,8
2017,290389,AAVC,126
2017,290389,ARCH,688
2017,290389,BMA,832
2017,290389,HLTH,126
2017,290389,INFO,126
2017,290389,MANU,446
2017,290389,MRKT,832
2017,290389,STEM,495
2017,290389,TRAN,126
2017,291336,AAVC,2
2017,291336,AGNR,25
2017,291336,ARCH,265
2017,291336,BMA,16
2017,291336,HLTH,70
2017,291336,HOSP,93
2017,291336,INFO,84
2017,291336,MANU,2
2017,291336,MRKT,7
2017,291336,STEM,2
2017,292324,ARCH,10
2017,292324,BMA,40
2017,292324,HLTH,20
2017,292324,HOSP,11
2017,292324,INFO,36
2017,292324,MRKT,2
2017,292324,TRAN,1
2017,298202,MANU,1
2017,298204,AGNR,2
2017,298204,HOSP,2
2017,300312,AAVC,37
2017,300312,AGNR,44
2017,300312,ARCH,41
2017,300312,BMA,12
2017,300312,FINA,8
2017,300312,HLTH,39
2017,300312,HOSP,31
2017,300312,HUMA,12
2017,300312,INFO,23
2017,300312,LAW,2
2017,300312,MANU,10
2017,300312,MRKT,11
2017,300312,STEM,28
2017,300312,TRAN,25
2017,310338,ARCH,1
2017,310344,AGNR,40
2017,310344,BMA,14
2017,310344,HLTH,62
2017,310344,INFO,18
2017,310344,MANU,3
2017,310344,STEM,34
2017,310344,TRAN,23
2017,310352,AGNR,73
2017,310352,ARCH,13
2017,310352,BMA,43
2017,310352,HLTH,37
2017,310352,HOSP,26
2017,310352,INFO,32
2017,310352,MANU,6
2017,310352,MRKT,5
2017,310352,TRAN,21
